[2026-08-14T12:06:01.189Z] GET http://localhost:3000/_next/static/chunks/turbopack-_1z0ql8a._.js → 200 (103ms, ?B)
[2026-08-14T12:06:01.189Z] GET http://localhost:3000/_next/static/chunks/_18x7jxu._.js → 200 (122ms, 450B)
[2026-08-14T12:06:01.307Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 200 (29ms, ?B)
[2026-08-14T12:06:01.308Z] GET http://localhost:3000/_next/static/chunks/src_1_ba46s._.js → pending (?ms, ?B)
[2026-08-14T12:06:01.308Z] GET http://localhost:3000/_next/static/chunks/0bol_next_dist_1gyjs2j._.js → 200 (28ms, ?B)
[2026-08-14T12:06:01.308Z] GET http://localhost:3000/_next/static/chunks/1sjr_%40supabase_auth-js_dist_module_1np_ckv._.js → 200 (34ms, ?B)
[2026-08-14T12:06:01.308Z] GET http://localhost:3000/_next/static/chunks/node_modules__pnpm_1dp28zq._.js → 200 (32ms, ?B)
[2026-08-14T12:06:01.310Z] GET http://localhost:3000/_next/static/chunks/src_02e8glw._.js → 200 (31ms, ?B)
[2026-08-14T12:06:01.311Z] GET http://localhost:3000/_next/static/chunks/node_modules__pnpm_04zojw8._.js → pending (?ms, ?B)
[2026-08-14T12:06:01.470Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (133ms, 28369B)
[2026-08-14T12:06:01.602Z] POST http://localhost:3000/__nextjs_original-stack-frames → 200 (16ms, 1620B)
[2026-08-14T12:06:01.602Z] GET http://localhost:3000/__nextjs_font/geist-mono-latin.woff2 → 200 (1ms, 31301B)
[2026-08-14T12:07:55.449Z] GET http://localhost:3000/enterprise?params=eyJpZCI6MTIzLCJ3b3JrX3R5cGUiOiJmcm9udF95YXJkIn0 → pending (?ms, ?B)
[2026-08-14T12:07:55.689Z] GET http://localhost:3000/enterprise?params=eyJpZCI6MTIzLCJ3b3JrX3R5cGUiOiJmcm9udF95YXJkIn0 → 200 (118ms, 4441B)
[2026-08-14T12:07:55.811Z] GET http://localhost:3000/_next/static/media/797e433ab948586e-s.p.0r6juujl39pe6.woff2 → 200 (?ms, -300B)
[2026-08-14T12:07:55.812Z] GET http://localhost:3000/_next/static/media/caa3a2e1cccd8315-s.p.0wgildi0cnwt9.woff2 → 200 (?ms, -300B)
[2026-08-14T12:07:55.812Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__04kpziu._.css → 304 (2ms, ?B)
[2026-08-14T12:07:55.812Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1y-1ge1._.js → 200 (4ms, ?B)
[2026-08-14T12:07:55.812Z] GET http://localhost:3000/_next/static/chunks/0bol_next_dist_compiled_next-devtools_index_0rol6yq.js → 200 (72ms, ?B)
[2026-08-14T12:07:55.812Z] GET http://localhost:3000/_next/static/chunks/0bol_next_dist_compiled_react-dom_0e5l7xx._.js → 200 (72ms, ?B)
[2026-08-14T12:07:55.812Z] GET http://localhost:3000/_next/static/chunks/0bol_next_dist_compiled_react-server-dom-turbopack_1nzjt2z._.js → 200 (52ms, ?B)
